Banco;Código;ISPB;Nome Completo
ICAP DO BRASIL CTVM LTDA.;157;9105360;ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.
CASA CREDITO S.A. SCM;159;5442029;Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor
COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO;163;23522214;Commerzbank Brasil S.A. - Banco Múltiplo
BRL TRUST DTVM SA;173;13486793;BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
PEFISA S.A. - C.F.I.;174;43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
GUIDE;177;65913436;Guide Investimentos S.A. Corretora de Valores
CM CAPITAL MARKETS CCTVM LTDA;180;2685483;CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA
SOCRED SA - SCMEPP;183;9210106;SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P
BCO ITAÚ BBA S.A.;184;17298092;Banco Itaú BBA S.A.
ATIVA S.A. INVESTIMENTOS CCTVM;188;33775974;ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES
HS FINANCEIRA;189;7512441;HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS
SERVICOOP;190;3973814;SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN
NOVA FUTURA CTVM LTDA.;191;4257795;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
PARMETAL DTVM LTDA;194;20155248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
VALOR SCD S.A.;195;7799277;VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.
FAIR CC S.A.;196;32648370;FAIR CORRETORA DE CAMBIO S.A.
STONE PAGAMENTOS S.A.;197;16501555;Stone Pagamentos S.A.
